"codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
13101,"SANTIAGO","Municipal",7725,58.3638834951456
13101,"SANTIAGO","Particular Pagado",3249,62.4176669744537
13101,"SANTIAGO","Particular Subvencionado",11316,58.8288264404384
13102,"CERRILLOS","Municipal",1757,56.1172453044963
13102,"CERRILLOS","Particular Subvencionado",3241,56.3625424251774
13103,"CERRO NAVIA","Particular Subvencionado",4195,57.7916567342074
13103,"CERRO NAVIA","Servicio Local de Educación",2845,55.0882249560633
13104,"CONCHALÍ","Municipal",3455,55.6191027496382
13104,"CONCHALÍ","Particular Pagado",133,57.5037593984962
13104,"CONCHALÍ","Particular Subvencionado",5379,57.6136828406767
13105,"EL BOSQUE","Municipal",2581,54.2150329329717
13105,"EL BOSQUE","Particular Pagado",243,59.9794238683128
13105,"EL BOSQUE","Particular Subvencionado",10296,56.7372766122766
13106,"ESTACIÓN CENTRAL","Municipal",3885,57.0725868725869
13106,"ESTACIÓN CENTRAL","Particular Pagado",720,61.1083333333333
13106,"ESTACIÓN CENTRAL","Particular Subvencionado",5368,58.520305514158
13107,"HUECHURABA","Municipal",1502,56.0545938748335
13107,"HUECHURABA","Particular Pagado",2587,62.0483185156552
13107,"HUECHURABA","Particular Subvencionado",1682,57.8495838287753
13108,"INDEPENDENCIA","Municipal",2339,57.2462590850791
13108,"INDEPENDENCIA","Particular Pagado",327,61.8562691131498
13108,"INDEPENDENCIA","Particular Subvencionado",4682,56.6131994873985
13109,"LA CISTERNA","Municipal",1289,57.7866563227308
13109,"LA CISTERNA","Particular Pagado",103,60.368932038835
13109,"LA CISTERNA","Particular Subvencionado",7045,59.5515968772179
13110,"LA FLORIDA","Municipal",4306,56.4052484904784
13110,"LA FLORIDA","Particular Pagado",2572,61.7309486780715
13110,"LA FLORIDA","Particular Subvencionado",19120,58.0633368200839
13111,"LA GRANJA","Particular Subvencionado",5412,56.1494826311899
13111,"LA GRANJA","Servicio Local de Educación",2130,55.2821596244132
13112,"LA PINTANA","Municipal",2062,53.5286129970902
13112,"LA PINTANA","Particular Subvencionado",10790,56.2794253938832
13113,"LA REINA","Municipal",1352,58.0073964497041
13113,"LA REINA","Particular Pagado",4703,61.4091005741017
13113,"LA REINA","Particular Subvencionado",2662,58.3963185574756
13114,"LAS CONDES","Municipal",2041,59.453209211171
13114,"LAS CONDES","Particular Pagado",10580,61.8898865784499
13114,"LAS CONDES","Particular Subvencionado",1801,58.6912826207662
13115,"LO BARNECHEA","Municipal",445,54.885393258427
13115,"LO BARNECHEA","Particular Pagado",6153,61.0017877458151
13115,"LO BARNECHEA","Particular Subvencionado",1572,55.5063613231552
13116,"LO ESPEJO","Municipal",1712,55.2126168224299
13116,"LO ESPEJO","Particular Subvencionado",2775,56.3863063063063
13117,"LO PRADO","Particular Subvencionado",3125,57.42688
13117,"LO PRADO","Servicio Local de Educación",2249,55.201422854602
13118,"MACUL","Particular Pagado",884,60.5904977375566
13118,"MACUL","Particular Subvencionado",3783,58.4892942109437
13118,"MACUL","Servicio Local de Educación",1722,57.7485481997677
13119,"MAIPÚ","Corporación de Administración Delegada",187,56.9197860962567
13119,"MAIPÚ","Municipal",6046,57.3668541184254
13119,"MAIPÚ","Particular Pagado",1426,62.3632538569425
13119,"MAIPÚ","Particular Subvencionado",25063,58.5202489725891
13120,"ÑUÑOA","Municipal",4227,59.2590489709013
13120,"ÑUÑOA","Particular Pagado",5167,59.6473775885426
13120,"ÑUÑOA","Particular Subvencionado",2227,58.5514144589133
13121,"PEDRO AGUIRRE CERDA","Municipal",1821,54.6084568918177
13121,"PEDRO AGUIRRE CERDA","Particular Subvencionado",4979,57.0654749949789
13122,"PEÑALOLÉN","Municipal",3090,55.1653721682848
13122,"PEÑALOLÉN","Particular Pagado",4998,59.8317326930772
13122,"PEÑALOLÉN","Particular Subvencionado",6395,56.6308053166536
13123,"PROVIDENCIA","Municipal",2224,60.4307553956835
13123,"PROVIDENCIA","Particular Pagado",5644,58.9962792345856
13123,"PROVIDENCIA","Particular Subvencionado",1327,60.8372268274303
13124,"PUDAHUEL","Particular Pagado",694,62.678674351585
13124,"PUDAHUEL","Particular Subvencionado",8104,58.0603405725567
13124,"PUDAHUEL","Servicio Local de Educación",4344,56.585635359116
13125,"QUILICURA","Municipal",2475,56.2674747474747
13125,"QUILICURA","Particular Pagado",984,63.0731707317073
13125,"QUILICURA","Particular Subvencionado",11871,56.8234352624042
13126,"QUINTA NORMAL","Municipal",3967,56.5659188303504
13126,"QUINTA NORMAL","Particular Subvencionado",5895,57.3952502120441
13127,"RECOLETA","Municipal",3467,57.759157773291
13127,"RECOLETA","Particular Pagado",548,62.9124087591241
13127,"RECOLETA","Particular Subvencionado",7621,57.9396404671302
13128,"RENCA","Municipal",3112,56.6998714652956
13128,"RENCA","Particular Subvencionado",6300,56.3860317460318
13129,"SAN JOAQUÍN","Particular Subvencionado",2363,57.8366483283961
13129,"SAN JOAQUÍN","Servicio Local de Educación",1849,58.6479177934019
13130,"SAN MIGUEL","Municipal",1317,58.215641609719
13130,"SAN MIGUEL","Particular Pagado",1018,61.2573673870334
13130,"SAN MIGUEL","Particular Subvencionado",5705,58.6248904469764
13131,"SAN RAMÓN","Municipal",1110,55.5468468468468
13131,"SAN RAMÓN","Particular Subvencionado",4343,56.9940133548238
13132,"VITACURA","Municipal",930,59.3333333333333
13132,"VITACURA","Particular Pagado",6657,61.7694156526964
13132,"VITACURA","Particular Subvencionado",186,60.1021505376344
